,Tweets
946,      nikita itu kan anak buah sambo dia dilindungi prompam produk tito makanya dia g akan kena hukum ada isu sih tugas dia selain jadi buzzer bela polisi bela rezim dia sbg pengedar sabu narkoba di kalangan artis
947, essai  kebobrokan sambo berbanding lurus dengan kemerosotan moral polisi
948,model sambo lagi yahadeuuuhh kok gak  nih polisi ya  kualat ntar kalian 
949, udah sih pak ngaku ajasemua pihak salah polisi juga salah knapa pake gas air mata tapi gak ngecek pintu stadion udah kebuka atau belumudah cukup pak bikin drama baru muak saya bacanyaurusan sambo aja gak  🙄
950, itu dulu sekarang polisi sambo lain ceritanya
951,bisa gk sih kelen yg polisi ini bertindak lebih baek lagi semenjak kasus sambo kok makin paok paok ku tengok kelen adalah yg jilat kue hut tni adalah yg betingkah nyuri kereta adalah yg paok kali main gas air mata di stadion besok apa lagi kelen buat kasus wak
952, pak  coba di cek pak apa benar ada kesengajaan sampe gate  dikunci  sebelum permainan selesai jika bapak bisa buka tabir ini saya percaya bapak tdk termasuk group polisi sperti sambo
953, twp mending tulis berita polisi dalam negrinya aja 
954, emang anak buah sambo ini selalu memalukangak pernah bener sekolah kepolisian kok kyk beginipolisi tolol
955, saya mau kritik polisi yg pungli di samsat depok dan di pasar segar pungli saat cek fisik bayar perpanjangan masa sim dluar harga normal apakah saya akan diciduk pak   trlalu banyak yg lain lagi ini dlu selain jg sambo
956,sebenernya oknum aparat pas masuk kesatuan ikutan tes ga si soalnya dah byk kasus cth aja ni ada oknum polisi yg jilat kue hut tni ada oknum tni mukul kurir shoppe ada ferdy sambo yg mau jd rambo  ada kamu si paling ngerasa tersakiti
957, pada intinya polisi takut dengan tni yang bunuh ratusan nyawa prosesnya njelimet dan bisa jadi  nya dilindungi
958,problem negara indonesia di tahun ini   sambo  perselingkuhan sampe ke kdrt  tragedi sepak bola   prank polisi pura di kdrt  si penyanyi pamungkas dan hp fans nya ada yang mau di tambah lagi
959,   yang nembak mati kan polisi geng sambo
960,jadi tersangka ferdy sambo tampak masih dikawal brimob seperti seorang jenderal polisi  
961,kokean ngapusi polisi kui contoh kasus nya si sambo banyak drama  sekarang kasus kanjuruhan koq mung  gas sing kehitung  polisi sing jujur  polisi tidur dan patung polisi wes gitu aja 
962, terimakasih sambo karna kamu ulahulah polisi mudah terekspos 👏
963, polisi yang jilat kue hut tni resmi dipecat tidak hormat pengamat bandingkan kasus ferdy sambo  polisi ferdysambo huttni pecat ptdh jilat pengamat     lewat 
964,bandingkan dengan kasus ferdy sambo soal dua polisi dipecat karena jilat kue hut tni pengamat keputusan berlebihan sanksi yang diberikan sidang etik yang diterapkan terlalu berat 
965,   gaya sambo jadi standar sop polisi
966,   gaya sambo jadi standar sop polisi
967,begitu lengkap bukti video amp pernyataan saksi korban yg selamat kenapa polisi sambo masih lambat menangani kalah dg media asing yg dtg lbh lambat      berpacu dg  menumbangkan doktrin kebal hukum sambo   
968,bandingkan dengan kasus ferdy sambo soal dua polisi dipecat karena jilat kue hut tni pengamat keputusan berlebihan 
969,bandingkan dengan kasus ferdy sambo soal dua polisi dipecat karena jilat kue hut tni pengamat keputusan berlebihan 
970, bubarij aja polisi di kanjuruhan kaga kelar kelar apalagi sambo
971,  hakim bo hanya legenda dari tiongkok  tapi pak hoegeng adl tokoh nyata dari republik ini  tokoh yg hendaknya jadi pautan semua orang di indonesia terutama polisi  bukan orang seperti sambo
972, modyarkelakuan polisi geng sambo itu harus di pecat semuagak punya moral
973, bosny sambo unjuk gigi  walaupun sambo d tangkap dia msh punya  yg lain  cek cctv siapa yg kunci clear  gampang kok klw polisi mau jujur mengusut kasus ini
974,rekomendasi sepatu bikin lo tambah tinggi by heiden heritage  — a thread —  tags anya mas pam jijik pamungkas pink d menantu pagipagi polisi sambo 
975,   ketauan ga pernah mengikuti berita brp banyak polisi yg di pecat dlm kasus sambo mulai dr pati pamen smp pama
976,polisi makin hari makin tolol dah beberapa waktu lalu kasus sambo dan konsorsium  yg sampe saat ini belum tuntas kemudian tragedi di kanjuruhan dan sekarang anggota polisi jilat kue ulang tahun tni bodoh otaknya digadai buat jadi anggota ya
977, polisi blm cukup pangkat udh belagu ntar jika spt sambo silahkan belagu
978,bapak polisi jangan lupa ya kami masih ingat kasus sambo
979, keputusan lebay pak  dengan ptdh terhadap kesalahan yang bukan aksi kriminal dan harus menghapus masa depan kedua remaja yang baru memulai karir mereka sebagian polisi yg terlibat kasus sambo hanya demosi kok rekrutmen dan sistem pendidikan yang perlu dievaluasi
980,  masih dikuasai genk ferdy sambo polisi indonesia maka nya  nggk bisa berbuat banyak utk lakukan perubahan ditubuh polri
981, jika sambo salah harusnya kapolri mundur karena tidak  sambo jadi beking judi online dan narkoba  polisi kok menghancurkan masa depan anak bangsa 😡😡😡
982,luar biasa istimewa perlakuan pd penjahat pelaku pembunuhan apa krn suhu dr mesin pembunuh🤔 dikawal dr sorotan dan publikasi khalayak ramai  pakai rompi 🍊 usaha yg ga mudah dr para jurnalis🥹 ehkini polisi berubah jd tni ya 🧐 sambo di kejaksaan
983, kalo sdh menyangkut polisi spt km   ferdi sambo skrg kanjuruhan cctv kalo gk mati yaa rusak demi utk menutupi kebobrokan  siaprakyatlawanrezim siaprakyatlawanrezim
984,makanya jgn sok jadi polisi msh kecil aja belagu ntar gede yg beginian jadi sambo nih 
985,  jadi curiga sama  polisi di luar stadion kanjuruhan yang sudah bergelimpangan   kek sambo yg nembakin ke arah dinding biar dikira baku tembak dahal sambo sendiri yg ngelakuin kan ngeri klo kek gitu
986,         jng suka bikin berita yg blm tentu bener itu suara pengacara j ketika rekontruksi drmh sambo dn ditolak polisi
987,full wawancara kapolri eksklusif soal sambo judi sampai polisi bergaya   via 
988, kalo bandingin apple to apple mas wakanda mah gak bisa dibandingin sm negara manapun menggugat pemerintah amp polisi via apa via laporan ke polisi wkwkwkwk bisa bisa nanti tersambo sambo mas
989,viral fotofoto sebelum dan sesudah polisi tersangka bantu ferdy sambo karir runtuh dalam sekejap    lengkapcepatberitanya beritaterkini berita news beritanasional  
990,  polisi jauh sebelum kasus kanjuruhan sedang disorot oleh publik karena kasus sambo sekarang  mereka berbuat kejahatan  sorotan tersebut gw punya saran pak  pecat mereka oknum polisi yg melakukan kejahatan terhadap rakyat sipil
991,andaikan bener ini saya jadi pikiran saya terjawab sudah kenapa polisi menyita cctv dikarenakan mau ngamanin atau mau merekayasa cctv persis kasus sambo  kasus ini bakalan panjangsaya pesimis usutsampaituntas usuttuntas usuttuntastragedikanjuruhan 
992, kalau emang sengaja dikunci berarti emang sudah direncanakan chaos apa mungkin ini cara polisi mengalihkan kasus sambo dan kasus lainnya
993,ngurus kasus ferdi sambo gabisa ngurus kasus kanjuruhan gabisa ngurus gengster gabisa selain ngelobi cewe dengan pembukaan halo dek bakat polisi apaan si
994, ini semenjak kasus sambo gue ngerasa polisi apes mulu
995,    kalau skrg jokowi copot kapolri sdh jelas menghilangkan fakta perubahan di dalam institusi kepolisianpadahal rakyat berharap kapolri dapat membuka berbagai kejadian pembunuhan yang di lakukan anggota polisi kasus  sambo dan kanjuruhan malang
996, oknum itu klo polisi korupnya cuma  atou  pakini hampir smwa pjabat polisi terima aliran dana haram itusudah ndak bisa lg kita bilang oknum   katakan sajakorpnya sambo
997, polisi pura pura tegas tetapi ternyata yg jadi korban adalah  kecil ini tetapi sambo tetaplah sambo 🥲 kasus pembunuhan internal berbulan bulan mbulet  ehh membunuh supporter gak mau salah tetep ngorbanin polisi kecil 🥺 yasudah lah yaaa
998,bawahannya banyak yg rusak atasannya  eh lupa polisinya polisi itu sambo 
999,sambo ke   teman dekat polisi
1000, bener ini yg dilakukan polisi kalo beneranwah dosa berkepanjangan  hallo pak sambogmn anak buahn anda kok nakal
1001,efek sambo polisi mulai tegas kepada anggota yang melakukan pelanggaran jika saja sejak dahulu tegas seperti ini mungkin saja kasus sambo tak pernah ada 
1002,jadi teringat ferdy sambo seorang jenderal polisi yang mahir merekayasa kejadian dan merusak barang bukti apakah yang model seperti itu harus saya percaya  saya lebih percaya investigasi media asing 
1003,  polisi sambo siapa yg percaya 
1004, dari kasus sambo sulit mempercayai polisi hal yg mudah dlm bbrp jam sdh bs dihitubg berapa peluru gas yg keluar dan buat press release ini bs  ya mirip sambo gt jd nya jd wajar washington post dirasa lebih akurat sampai buat simulasi dr arah angin jd bukan 
1005, ya patut diduga dapat kiriman amplop coklat dari sambo kalau  tewas di tragedi kanjuruan mana ada  amplop coklat adanya kiriman gas air mata polisi bikin deras tetesan air mata ibu bro 
1006, hanya jilat kue aja dipecat nah sambo hukuman yg setimpal apa itu yaa merencanakan bunuh polisi buat skenario palsu menghilangkan barang bukti beking judi poligami
1007,gw yakin ini adalah serangan balik dari sambo  yg adalah teman dekat kapolda jatim pesannnya  lu macem gw buat makin banyak orang mati nih seolah dibunuh polisi  note  sambo udah dipecat dari polisi he got nothing to loose 
1008,  kalau gerombolan dia mana diproses polisi ingat sambo segolongan dia
1009, dasar polisi bocah blm punya duit kaya sambo aja tengil🤣
1010, akan dibuka tabirnya oleh tuhan setelah sambo kmaren polisi cabang pssi juga sudah dibuka aibnya
1011,dipusingkan oleh rekayasa kasus pembunuhan oleh sambo cs kemudian dipusingkan lagi dengan kasus pembunuhan penonton bola dan keduanya dari institusi yang sama padahal ada pembantu presiden dan kepala polisi  kapan urus rakyat yang ekonominya sudah morat marit tuan jokowi  
1012, tentang sambo kena mubahalah para ulama boleh tentang gas air mata pembunuh suporter bolehtentang polisi memperkosa napi narkoba boleh tentang polisi jadi beking perjudian boleh dst
1013, kasus sambo jadi bukti pertaruhan integritas polisi
1014, ala sambo lagi ni polisi🤦‍♂️🤦‍♂️
1015, gila banget tu polisi anak buah sambo semua kalie ya
1016, habis sambo sekarang arema besok apalagi gatau dah cuma polisi tidur sama patung polisi aja yg masih berguna di jalanan
1017,pakdhe pres  mulai sekarang ayo pakdhe sikat mafia forex slot judi sambo cs ccp yg da makan bnyak korban ini adik ku   anaknya polisi korban forex cc gus   om       block account ccp scammer  
1018, opini gua masih sama dari awal tragedi ga selamanya manusia semuanya baikzada yg bajingan begitupun polisi ga selamanya figur polisi itu baik semua mereka juga manusia pasti ada bajingan nya juga kalo semua polisi baikgaada istilah oknum seperti sambo usuttuntastragedi
1019,  mereka blm tahu aja bobroknya polisi amerika sebelum kasus sambo ada jugaada kasus yg sama yah bang di amerika
1020,  masa depan mereka menjadi kelam akibat ptdh pak  kesalahan yg bukan masuk kategori kriminal seperti sejawat mereka di kasus sambo yg bahkan sebagian demosi saja masih muda dan baru memulai karir sebagai polisi kenapa tidak dievaluasi sistem pendidikan kepolisian
1021,   polisinya polisi  sambonya sambo
1022,   haha memang agak lain polisi di negara kita ini case kaya pencurian penipuan klo kita orang kecil gini lapor pasti ga beneran selesai diusutnya malah kasus pembunuhan sekelas sambo aja masih ribet 😌
1023,ada apasi dg polizie belakangan ini banyak bgt  ferdy sambo n   tragedi gas air mata kanjuruhan  polisi ejek jilat kue tni  mahasiswa halmahera dibantai krn bikin status sindir polisi  video polisi cekik leher  di sulawesi kek kenapa gitu
1024, bila pelecehan yg menjadi sebab si sambo membunuh j maka mustahil j sudah tau terdahulu bhw dia mau di bunuh kita simak sidangnya nanti apa yg akan dikatakan jpu  yang menerima berkas dari penyidik polisi 
1025,  polisi yang berkelakuan jahat thdp rakyat ada indikasi bekas didikan sambo
1026,kok majikan skrng statusnya sudah beda ferdy sambo sudah bukan polisi lagi   judul di media kadang bikin kita salah persepsi thdp kasus ini 
1027,polisi hehe oknum polisi kasus  kasus sambo kasuskriminaltragedi kanjaruhan  woooooow hebaaaaatttt
1028,video di hp saksi dihapus gaya sambo lpsk sebut ada video kanjuruhan yang sengaja dihapus polisi     baca berita terkini dengan mudah dan nyaman download aplikasi inilahcom di ios dan android inilahcom inilahdotcom via 
1029,sejak kapan dpr jadi pengacara polisi sejak insiden sambo sampai kejadian inidpr bersuara sama 
1030, sambo nembak polisi aka manusia susah bgt dipecat nya kakks
1031,polisi tuh kebanyakan ngeles mulu laki dikit ke kaya panglima tni kalo salah ngaku salah g sambo g kanjuruhan drama terus bisanya polisi 
1032,   polisi sdm rendah begini jangan sampai karirnya panjang yang ada kalo pangkatnya tinggi bisa jadi sambo berikutnya
1033,tema  bebas oke kita tulis rekam jejak polisi dari salah tangkap sampai the one and only ferdy sambo 
1034,ini kenapa ya  di tv pada takzim bgt sama putri candrawathi ga anchor ga polisi semua memanggil ibu putri tapi ke suaminya langsung ferdi sambo  pada kena virus apa sih  ada lagi si mantan jubir kpk maju terus membela yg bayar
1035, kalo diitung kasus oknum polisi tahun ini banyak bnr ya sambo kanjuruhan jilat kue ada yg kelewat
1036,emang  ini harus jadi musuh rakyat sr indonesia baru bisa berubah kadud sambo yg sdh sangat memalukan blm juga membuat polisi sadar 
1037,polisi takut amat dgn tentara padahal kasus sambo jauh lebih parah menghilangkan nyawa gak cuma jilat menjilat keputusan pemecatannya lama bgt 
1038,kalau disini sudah bilang gini saya gak mau membela panpel atau apa yang jelas kalau dirunut kenapa polisi ambil cctvkok kayak mirip kasus sambo ya yang diamanin cctv nya usuttuntastragedikanjuruhan usutsampaituntas usuttuntas 
1039,kalau disini sudah bilang gini saya gak mau membela panpel atau apa yang jelas kalau dirunut kenapa polisi ambil cctvkok kayak mirip kasus sambo ya yang diamanin cctv nya usuttuntastragedikanjuruhan usutsampaituntas usuttuntas 
1040, kekejian seorang hipokrit ex jenderal polisi sambo dan satgassus sudah membuat sekitar  personil polisi tercoreng   apabila ada pelanggaran yang dilakukan oleh anggota maka  tingkat pimpinan diatasnya harus bertanggung jawab    ferdy sambo 
1041,kebiadaban protap sambo oleh rezim  jadikan polisi bermental pembunuh dn ngeles mncari pembenaran  
1042,itulah juuuancoknya semua polisi  yg teror bang iwan dl adlh tentara panglima ga mundur  sekarang peran tentara di embat polisi terorin rakyat  sambo manfaatin demo naik bbm skrang polisi manfaatin kanjuruhan  apa maunyajatuhin kapolribnyak polisi gerah gebrakan kapolri 
1043, apa di pikiran mereka ketika menembakkan gas air mata menghalau massa kemana   apakah sebodoh itu kualitas polisi kita juga perwiranya  atau mereka ada motif lain atau dorongan emosi kemarahan bawah sadar pada rakyat akibat  sambo dll  relasi polisirakyat perlu
1044, akal sehat firli bukti nya polisi mental sambo 
1045,bubarkan  institusi   kepolisian  copot  kapolri kapolda  jatim  trauma  satgassus sambo gas  air  mata  pssi   meninggal  menyedihkan   luka  luka  blundergaduh  terus  polisi  ri 
1046,dengan nada yang sangat sopan kami terpaksa bertanya apakah ada standar ganda untuk kasus sambo polisi fokus pada peristiwanya sedangkan untuk kanjuruhan terkesan fokus kepada motivasi padahal keduanya  delik materiil ada orang mati  usutsampaituntas
1047,ini baru cakep min     coba di sambo dan si hendra dan  yg membunuh ratusan org di kanjuruhun kalian gitukan juga  gw jamin polisi akan panes simpati 
1048, cuma difilm citra polisi bagussetelah kasus sambo sekarang dikanjuruhan polisi bikin ulahharusnya film  bisa sampai ke munich
1049, kalo dpr nyalahin polisi taruhan nya keluarga bu bisaa aja ntar jadi sasaran sambo yang lain
1050,pasti udh kena sambo polisi bro udah merangsek ke tumpah darah indonesia 
1051, iwan ketum pssi itu  polisi polri ga ada yang kesatria yang ada cari kambing hitam sambo itu bukan anomali itu tipe normalnya polisi
1052,polisi yang baik dan dapat dipercaya itu cuma tiga   polisi hoegeng  lambang polisi  polisi tidur  selebihnya sambo semua revolusitotalpolri
1053,   di kasih perintah buat ngebunuh temen sendiri  sama atasan aja polisi yg  mau ko liat dah kasus sambo berarti iq nya emang punya masalah secara temen sendiri di bunuh kalo gw sech ogah di suruh atasan buat bunuh temen sendiri udah lach group lo salah
1054,yang salah polisi  yang ngurus juga polisi yah gitugitu aja terus  emang iya okum yang salah tapi kok oknumnya ga di penjara  malah di mutasi  ini sambo juga belum kelar kelar masalahnya
1055,ประเทศไทยไว้ทุกข์ rip 🥲🥲   tren  thailand jakarta dadang polisi ferdy sambo  กราดยิงหนองบัวลําภู
1056, polisi indo go internasional sambo sambosambooo ughh ✊✊
1057,  laskar fpi dan brigadir joshua yg difitnah setelah dibunuh polisi first time 😏
1058, anda aktivis drimana ya pertama anda kerja di kpk klo pun anda  kampanye anti korupsi anda dibyr utk itu yg nulis aja bodoh menyamakan anda dgn todung dan adnan kedua  keluarga sambo jdikan anda pengscara gratis atau byr klo byr umr kn gji polisi kecil
1059,sulit untukku percaya pak kasus sambo gimana pak  sedih liat tementemen polisi yang baik baik 
1060,sumber foto  jabar ekspres  inanews inanewstv beritaterkini berita beritaviral  dailynews polri polisi sambo pembunuhan brigadirj putricandrawathi
1061,makar allah membuka semua tabir keburukan oknum polisi dlm kasus sambo 
1062,dari kasus sambo dan kanjuruhan seperti nya ada yg salah dgn pendidikan polri knp  pembunuh bs ada di diri para polisi kok bagi polisi nyawa manusia seakan gk ada harganya 
1063,citra polisi makin bobrok anjrt dr kasus sambo belom pulih ini kanjuruhan
1064,setelah kasus sambo polisi bukan semakin baik  keleluasaan sambo memerintahkan pembunuhan ajudannya merekayasa dan membangun skenario cerita serta menghalangi penyidikan harus menjadi koreksi internal kepolisian mengapa semua mua itu terjadi 
1065,           polisi itu sipil yg dipersenjatai dgn jargon melayani melindungi mengayomi  sipil yg dilatih scr militeristik tapi yg lupa dgn jargon sbg tugas amp fungsinya  berasa paling gagah klo udh pake seragam pentungan amp senjata dgn andalkan otot tapi otak ga dipake
1066,           bukan militertugas polisi menjaga melindungi mengayomi rakyatbukan kebalikannya
1067,           polisi itu sipil apa militer sih   acab  acab
1068,           presiden nya sipil tp mengatasi masalah ketertiban cenderung ke militer 🤦‍♂️  sekalian aja polisi gabungkan ke abri
1069,sumpa gw kesel bgt tau sm polisi😭 dari dulu gw kesel bgt ditambah  kasus sambo arema ajg lah polisi bgst gd yg bener
1070,     gas terus sampe jebol polisi sambo biadab
1071, meni sieun ku si sambo group 😂 da polisi baik ge banyak atu 😋
1072,   ya emang salah polisi biasanya juga yg turun ke lapangan palingan di gebukin terus ditangkep nah motif nembak gas air mata ke tribun apa  dan tujuannya pintu keluar ditahan utk tdk dibuka apa video banyak bertebaran masih mau bela polisi mas sambo mania nih ye 😁
1073,beda perlakuan awak media kesal saat akan ambil gambar ferdy sambo bri  via  sambo polisi
1074, katanya terlibat berbagai korupsi cuma ngak ada yg proses polisi terkuat seperti sambo jokowipun takut
1075,  maaf saya sudah tdk prcya polisi semenjak kasus sambo
1076, polri ga ada kapok kapoknya selalu bikin onar dimasyarakat kasus sambo blm kelar ditangani ada lagi polisi bikin ulah di malang muntahkan gas air mata dilapangkan bola malang akibatnya  orang meninggal dunia secara masal kena tembakan air mata
1077, berarti wajah polisi indonesia mirip sambo semua  mending mirip ladusing agak unyu gimana gitu
1078,jutaan manusia meninggal tangan besi polisi dan pasti gembong mafia sambo berasal di jawa timur contoh kapolda jawa timur dan kapolres malang  anggota mafia sambo yang akan mengahabisi rakyat dan kepala harus di pancung polisi atau tni jika melanggar kode etik
1079, kasihan  sambo banyak memakan korban anak buahnya mungkin awalnya mengira polisi itu baik tapi yng terjadi polisi kita wajib direformasi total dan potong dua generasibiar polisi  muda yng tk terlalu banyak dosa bisa ke atasdan jangan kasih senjata kecuali buat reskrm
1080, firli ngomongnya sudah mirip irjen sambo mungkin karena sama sama polisi
1081,padahal kalau tujuannya tidak ingin lindungi pembantaian yg di lakukan polisi tanpa gas air mata tidak akan trbunuh aremania hingga ratusan korban  ngeles protap sambo  
1082, buka bukaan polisi tu  aja sambo katanya mau terbuka macam di selimuti terpal dan gas air mata kasusnya uang sambo aja nga ada di bahas
1083, putar dan nonton serentak film  sampah pembalut karya anjing buzzer  untuk memulihkan citra polisi pasca kasus sambo gagal total hy beberapa bulan timbul masalah baru yg membawa ratusan korban jiwa di kanjuruhan semakin membuat babak belur polri   
1084,mau tau kelakuannya polisi  liat sambo dan kanjuruhan   penuh dgn rekayasa dan pengusung kekerasan
1085, polisi sambo masuk lapangan
1086, buzzerrp pening nih baca beritanya gimana caranya harus membackup polisi sambo aja belum beres belum lagi soal persiapan pemilu musti bacot sana sini silahkan di top up lagi pulsa dan paket datanya wahai para buzzerrp
1087, mulai sekarang ganti kata polisi jadi sambo
1088, iwan bule mantan  polisi khan  sambo juga polisi yang ngotot nggak mau mundur  mana ada tradisi bertanggung jawab di korps tsb yang ada mencari kambing hitam menyalahkan yang lain dan cuci tangan dengan menghancurkan bb 
1089,setelah sambo membuka kebusukan  katanya polisi dan sekarang di mata najwa dibuka semua para saksi yg ada di stadion betapa busuknya institusi polisi ini oknum terlalu banyak oknum apakah pantas oknum polisi sebanyak itu usutsampaituntas 
1090,    coba ingat polisi mana yang baik selain pak hogeng
1091, ada aja klakuan wereng coklatparah gak liat brta kali mulai kasus sambokanjuruhan lg disorot ditambah  oknum polisi bgini tmbah jlk citra pplisi dan kepercayaan publik
1092,            blom lagi yg main narkoba judi online amp miras  blom lagi yg perkosa istri tahanan selingkuh sesama polisi amp malak motor gegara tilang dari urusan duit hingga selangkangan dll  oknum polisi merata di setiap polsek polres polda mabes dari pangkat pati pamen bintara amp tamtama
1093,             oh yang kue gede segi empat yg di dlm mobilyang di jagain polisi tuitu kue untk tni😭😭
1094,            gimana ga kesel mulai dr masalah sambo kanjuruan dan polisi yg jilat kue ultah tni smua oknumnya polisi kesellah kog anggotanya ga ada yg bener
1095, sambo uda final di tangan polisi btw
1096, sambo uda final di tangan polisi btw
1097, sepertinya di kalangan polisi masih banyak sambo sambo yang lain 🤦🏻‍♂️
1098,   dan pada saat seperti itu mbak nana mengeluarkan statmen yang bikin netizen tadinya fokus sambo kepecah sama bjorka dipecah lagi netizen yang yang menyalahkan instansi polisi dan gak semua polisi jelek makin kelelep fokus netizen
1099,ya allah dari kasus sambo aja udh ga percaya sm polisi tmbh lg skg kasus kanjuruhan polisinya lawak smua kl gbs dihukum di dunia semoga allah bs mengadili mreka smua yg berbuat jahat amp  ky gt udh muak bgt sm  ini knp sih
1100,citra polisi dari kemarin sudah mau ada itikad baik dari kasus sambo yang katanya ini adalah jalan masuk polisi sambo sudah terbukti salah sekarang anak buah sambo yang bikin salah dengan trust issue masyarakat bahwa itu untuk pengalihan kasus sambo hebat syekali pak ya
1101,ada  fakta menarik di balik perlakuan spesial ferdy sambo dan putri meski sudah dipecat dari polisi    via 
1102,   tadi di jalan raya ada polisi lewat lawan arah depan mata w terus w ngomong kenceng aja anj sambo lewat
1103,dua perkara yang menjadi sebab tragedi kanjuruhan  arameia fans turun padang kerana emosi  itu football  hooliganism dan   polisi berkelakuan seperti preman kerna merasa berkuasa amp untouchable sama seperti kelakuan ferdy sambo 
1104,  yg bener jiwa jiwa sambo udh jadi polisi semua
1105,oknum polisi nakal sekarang disebutnya sambo  nasional  apa yang salah dari idiom sambo     via 
1106,ini polisi lg  ya kelakuannya sambo dkk aparat tersangka kasus tragedi kanjuruhan barusan liat berita oknum polisi di papua yg melecehkan kue untuk tni konyol
1107, aaamiin  ditindak lanjuti karena sudah ratusan nyawa melayangjangan lupa pak kasus polisi tembak polisi dihukum seberat beratnyasambosampai sekarangcbelum 
1108,     biar asing aja yg evaluasi polisi indo sambo semua banyak manipulasi data
1109,  sepurane rek koyok ngene memang banyak terjadi sejak pemerintahan pak jokowi di jajaran menteri sudah banyak yg diganti apalagi polisi karena yg diganti dan dinonaktifkan semua ini orang baik kecuali sambo 🙏
1110,  aliran santrix sambo sikopat semuax dan polisi itu bebas karana  di lindungi oleh jokowi pemimpin yg buta hukum buta uud pancasila secara sariat islam jadi hancur sudah indonesia q tercinta karna udah di jajah oleh pemimpin yg bodoh
1111,polisi tidak pernah salah karena polisi sambo semua 
1112,ivestigasi jujur sat zet ngak koyok polisi kene kayak sambo acab 
1113,mafioso “kalau mengenai kejahatan dia ferdy sambo berjubel kejahatannya itu sudah saya identifikasi ya cuma saya belum laporlapor aja karena melibatkan banyakbanyak polisi” ujar kamaruddin  ngeringeri sedap 👏 amp innalillahi  saatnyahijrahtotal 🔎  
1114, catatan piral pak pol   sambo polisi sadis  polisi di tol gresik  jilat kue ultah tni  tembakan gas air mata di stadion kajuruhan  biasa gini efek barang haram pak
1115, kepolisian ri jadi cacat pas g ya pribahasa ini setitik racun yg jatuh ke dlm susu sekolam  susu sebelangga tdk bermanfaat akibat dijatuhi setitik racun apalgi setelah kasus sambo masih saja banyak kejadian jahat yg dilakukan polisi terhadap penduduk negri ini
1116,  polisi mafia sangat radikalisme dan intoleran  genk sambo
1117, ini media pak brewok mengulas lagi ttg kasus sambo  menggiring pemirsa agar jangan sampai melupakan kasus sambo padahal proses hukumnya sedang berlanjut ngga mungkin dihilangkan begitu saja  seperti menyuruh masyarakat secara tidak lngsung jgn prcya polisi
1118,jawab permintaan maaf ferdy sambo kamaruddin  kejahatannya berjubel libatkan banyak polisi 
1119,soal sambokanjuruhan    sejauh yg sy liat smua perjalanan   buat himbau suru jalanin full investigasi suru manajemen preventif biar ga kejadian lagi dan kasih bantuan sosial ke keluarga korban bukan gada sy liat dia  polisi ataupun tni intervensi hukum 
1120,   kan ini polisi tersebut sedang melaksanakan tugas pengamanan atasan mereka yang salah karena ngasih intruksi yang gak tepat sampai menghilangkan nyawa  sedangkan sambo itu nyuruh buat ngebunuh   jadi tolong bedain yah kaka 
1121, publik yg mn yg menilai  buzzeerrp  klu yg spt ini jd indikator rusak lah negara  penegakan hukum di zaman jokowi hancur hancuran  di zaman jokowi lah ada polisi sambo
1122,            wah pak presiden lagi ngambek tuhh  lha ini bener tni dulu polisi gampang dahh
1123, masih ada yang percaya survey kepuasan masyarakat terhadap polisi meningkat
1124,him siapa yg mau disalahin dari kejadian ini kemenpora pokoknya jangan gue pssi jangan gue juga noh polisi aja kan banyak hatersnya polisi kok gue sih jangan gue masalah sambo aja blm kelar him hmm kalau kalian ga mau ada yg ngalah kita salahin tangga sama pintu aja 
1125, polisi dah jadi sambo semua
1126, waduh kok masih ada aja polisi model sambo ya pak        
1127,   kalo ada berita polisi dimutasi setelah ada kasus itu artinya dicopot dari jabatannya untuk diperiksa sambo kemaren juga dimutasi dulu sebelum resmi jadi tersangka prosedurnya begitu bukan dimutasi ke tempat lain terus udah gitu aja
1128,bapak kapolri eksis terus di tipi kasus sambo belum kelar sekarang ada lagi masalah baru  diliat dr raut mukanya kyak lg mbatin  polisipolisi anaana bae polahe
1129, pasti kecewa sekali pak jokowi dengan kelakuan polisi udah mah sambo belum beres nih lebih parah
1130,cara kapitalis amp komunis baik sendiri maupun pakai proxy  bonekanya  selalu memanfaatkan moment  sambo memanfaatkan demo kenaikan bbm utk tekan istana amp polisi  sekarang polisi atas arahan amp perintah memanfaatkan kanjuruhandisaster utk menutupi kenaikan bbm 
1131, awak sangsi da koq ruame lagi skrg kita lagi ruame kasus sambo kanjuruhan dan kredibilitas polisi dipertanyakan muncul kode   klo ngulik  koq di injury time sih saat pilkada solo  amp  pilkada dki  dan pilpres  kemana aja
1132, kirain semua polisi sekelas jenderal bonaparte dan sambo asu 
1133, yuk pak   kapolri udah gak becus sambo  kanjuruhan  next apalagi  pemilu lebih ngeri loh  kasian rakyat kalau  polisi dan tni masih gini
1134,saat aku kritik jkw  nkri  saja tp ketika aku kritisi polisi keknya kalian ga nyaman why   mendorong penuntasan kasus sambo itu demi tegaknya marwah polisi tragedi kanjuruhan  itu tragedi kemanusiaan kami hanya menuntuk keadilan bukan mo nyerang marwah institusi
1135,gas air mata ditembakkan ke tribun penonton utk mencari target   klo pake langkah yg sama maka di kasus sambo harusnya yang diperiksa semabes polri  sambo hubungi dan ktmu kapolri sambo ktmu  lain jg  koq gak konsisten ya klo konsisten bkn polisi
1136,polisi sambo cs uda di taruh di sell khusus dihukum ckup lama tenang aja 
